actorid,dob,name,first_name,gender
nm0450434,"november 14, 1944",Karen Kester,Karen,female
nm0744441,"february 18, 1908",Angelo Rossitto,Angelo,male
nm0185341,"january 31, 1909",Walter Coy,Walter,male
nm0341351,"july 31, 1902",Robert Griffin,Robert,male
nm0553729,"january 27, 1920",Tony Martinez,Tony,male
nm4006077,"january 23, 1898",Signe Hack,Signe,female
nm0930207,"june 13, 1931",Camille Williams,Camille,female
nm0889203,"may 24, 1914",Vicki Vann,Vicki,female
nm1147661,"september 18, 1928",Marie Ardell,Marie,female
nm0893468,"september 16, 1903",Joe Venuti,Joe,male
nm0709695,"july 24, 1909",Stuart Randall,Stuart,male
nm0497204,"july 28, 1899",Eddie Lee,Eddie,male
nm0086636,"may 31, 1899",Madge Blake,Madge,female
nm0024320,"may 19, 1911",Jerry Ambler,Jerry,male
nm0093245,"december 7, 1904",Dino Bolognese,Dino,male
nm0096022,"march 16, 1925",Cornell Borchers,Cornell,male
nm0530422,"december 20, 1920",Bruni Löbel,Bruni,female
nm0368394,"july 11, 1903",O.E. Hasse,O.E.,
nm0797974,"july 22, 1903",Mario Siletti,Mario,male
nm0578896,"january 12, 1900",Eleonora von Mendelssohn,Eleonora,female
nm0760495,"january 13, 1885",Maurice Samuels,Maurice,male
nm0293099,"november 3, 1919",Bert Freed,Bert,male
nm0591814,"may 23, 1883",Baldo Minuti,Baldo,male
nm0872640,"december 2, 1889",Carlo Tricoli,Carlo,male
nm0943905,"january 15, 1887",Dennis Wyndham,Dennis,male
nm0631307,"may 3, 1903",José Nieto,José,male
nm0039696,"august 10, 1906",José Jaspe,José,male
nm0480576,"september 13, 1895",José María Lado,José,male
nm0898107,"july 7, 1892",Carlos Villarías,Carlos,male
nm0054225,"january 10, 1889",Rafael Bardem,Rafael,male
nm0018602,"july 3, 1923",Margarita Alexandre,Margarita,female
nm0862677,"march 11, 1920",Gérard Tichy,Gérard,male
nm0087015,"november 4, 1903",Montserrat Blanch,Montserrat,female
nm0299574,1896,Emilio Fábregas,Emilio,male
nm0041438,"august 3, 1928",Cécile Aubry,Cécile,female
nm0370144,"september 14, 1910",Jack Hawkins,Jack,male
nm0719692,"august 25, 1909",Michael Rennie,Michael,male
nm0007042,"september 11, 1917",Herbert Lom,Herbert,male
nm0163515,"july 17, 1892",Mary Clare,Mary,female
nm0572324,"july 19, 1884",Gibb McLaughlin,Gibb,male
nm0433150,"june 15, 1907",James Robertson Justice,James,male
nm0651791,"july 14, 1891",Henry Oscar,Henry,male
nm0002131,"october 1, 1928",Laurence Harvey,Laurence,male
nm0190011,"november 27, 1915",Rufus Cruickshank,Rufus,male
nm0409105,"march 25, 1895",Valéry Inkijinoff,Valéry,female
nm0743681,"december 15, 1911",Michael Ross,Michael,male
nm0186311,"april 11, 1917",Beverly Crane,Beverly,female
nm0709819,"august 7, 1923",Karen Randle,Karen,female
nm0455060,"august 21, 1905",Matty King,Matty,male
nm0366428,"may 28, 1923",Maria Hart,Maria,female
nm0177806,"august 28, 1917",Bill Coontz,Bill,male
nm0224614,"june 4, 1921",Don Diamond,Don,male
nm0449410,"november 18, 1925",George Keymas,George,male
nm0356794,"december 31, 1911",Joy Hallward,Joy,female
nm0653239,"october 15, 1878",Frank Otto,Frank,male
nm0646915,"october 5, 1879",Larry Oliver,Larry,male
nm0248304,"july 18, 1896",Helen Eby-Rock,Helen,female
nm0537167,"march 16, 1918",Mike Mahoney,Mike,male
nm0605899,"july 5, 1912",John Morley,John,male
nm0661146,"december 25, 1908",David Pardoll,David,male
nm0802093,"september 22, 1883",Bhogwan Singh,Bhogwan,
nm0736688,"october 20, 1911",Will Rogers Jr.,Will,male
nm0341311,"july 6, 1925",Merv Griffin,Merv,male
nm0941125,"april 10, 1921",Sheb Wooley,Sheb,male
nm0001620,"june 29, 1919",Slim Pickens,Slim,male
nm0532057,"september 12, 1925",Tyler MacDuff,Tyler,male
nm0361048,"december 5, 1921",Peter Hansen,Peter,male
nm0174280,"september 12, 1921",Carlos Conde,Carlos,male
nm0379621,"july 19, 1896",Juano Hernandez,Juano,male
nm0002269,"june 5, 1905",Edmon Ryan,Edmon,male
nm0241589,"july 25, 1899",Ralph Dumke,Ralph,male
nm0858409,"april 22, 1919",Guy Thomajan,Guy,male
nm0132930,"october 30, 1923",William Campbell,William,male
nm0414046,"february 15, 1942",Sherry Jackson,Sherry,female
nm0101633,"august 4, 1938",Donna Jo Boyce,Donna,female
nm0140924,"august 26, 1908",Mary Carroll,Mary,female
nm0167089,"june 1, 1921",John Close,John,male
nm0681608,"december 1, 1922",Paul Picerni,Paul,male
nm0921879,"november 19, 1922",Dick Wesson,Dick,male
nm0036400,"january 23, 1925",Danny Arnold,Danny,male
nm0000237,"february 18, 1954",John Travolta,John,male
nm0005148,"november 18, 1952",Delroy Lindo,Delroy,male
nm0348409,"november 15, 1945",Bob Gunton,Bob,male
nm0518989,"january 6, 1960",Howie Long,Howie,male
nm0193554,"september 30, 1950",Vondie Curtis-Hall,Vondie,female
nm0860233,"august 31, 1940",Jack Thompson,Jack,male
nm0252929,1970,Ousaun Elam,Ousaun,
nm0869467,"february 15, 1958",Shaun Toub,Shaun,male
nm0081827,"april 4, 1955",Casey Biggs,Casey,male
nm0101500,"february 7, 1965",Joey Box,Joey,male
nm0228875,"june 6, 1930",Joan Dixon,Joan,female
nm0161451,"december 26, 1910",Marguerite Churchill,Marguerite,female
nm0200580,"october 3, 1883",Dante,Dante,male
nm0741471,"may 14, 1905",Jewel Rose,Jewel,female
nm0043086,"august 28, 1915",Tol Avery,Tol,male
nm0862545,"february 9, 1920",Lawrence Tibbett Jr.,Lawrence,male
nm0311141,"november 21, 1923",Don Gazzaniga,Don,male
nm0508297,"january 31, 1931",Anita Lhoest,Anita,female
nm0717362,"august 22, 1903",Max Reid,Max,male
nm0015976,"october 25, 1919",Rico Alaniz,Rico,male
nm0052039,"april 12, 1942",Frank Bank,Frank,male
nm0654494,1936,Earl Owensby,Earl,male
nm9174604,"june 22, 1951",Barry Bell,Barry,male
nm0089122,"september 13, 1939",Robert Bloodworth,Robert,male
nm0092906,"march 1, 1955",Steve Boles,Steve,male
nm0391633,"september 17, 1942",Paul Holman,Paul,male
nm0728132,"october 30, 1949",Leon Rippy,Leon,male
nm0792444,"may 14, 1905",Fred Sherman,Fred,male
nm0202297,"october 27, 1910",Herschel Daugherty,Herschel,male
nm0372789,"september 17, 1890",Gabriel Heatter,Gabriel,male
nm0550867,june 1927,Ellye Marshall,Ellye,female
nm0704660,"june 30, 1921",Vici Raaf,Vici,female
nm0198445,"september 28, 1914",Jack Daly,Jack,male
nm0054833,"may 1, 1937",Betty Barker,Betty,female
nm0183808,"october 28, 1948",Denise Courtemarche,Denise,female
nm0186433,"september 9, 1925",Ted Crane,Ted,male
nm0589977,"november 20, 1894",Edith Mills,Edith,female
nm4141252,"april 5, 1989",Lily James,Lily,female
nm0534635,"june 18, 1986",Richard Madden,Richard,male
nm0000307,"may 26, 1966",Helena Bonham Carter,Helena,female
nm1996829,"november 17, 1978",Nonso Anozie,Nonso,male
nm0001745,"june 13, 1951",Stellan Skarsgård,Stellan,male
nm2904789,"may 17, 1985",Sophie McShera,Sophie,female
nm0334441,"march 27, 1988",Holliday Grainger,Holliday,female
nm0001394,"october 22, 1938",Derek Jacobi,Derek,male
nm0001035,"july 31, 1970",Ben Chaplin,Ben,male
nm0117339,"may 3, 1965",Rob Brydon,Rob,male
nm5480041,"september 23, 1986",Jana Pérez,Jana,female
nm1276507,"november 30, 1973",Alex Macqueen,Alex,male
nm2622652,"august 21, 1978",Tom Edden,Tom,male
nm4757927,"september 3, 2003",Eloise Webb,Eloise,female
nm0011105,"october 17, 1926",Julie Adams,Julie,female
nm0164457,"april 15, 1928",Roydon Clark,Roydon,male
nm0170873,"december 2, 1909",Forrest R. Colee,Forrest,male
nm0046373,"august 5, 1914",Parley Baer,Parley,male
nm0078940,"july 26, 1926",James Best,James,male
nm0717203,"august 14, 1893",Carl Benton Reid,Carl,male
nm0086469,"february 20, 1929",Amanda Blake,Amanda,female
nm0552683,"november 1, 1894",Lewis Martin,Lewis,male
nm0123186,"march 3, 1930",Clark Burroughs,Clark,male
nm0011148,"may 13, 1922",Lillian Adams,Lillian,female
nm0069619,"july 14, 1906",Orlando Beltran,Orlando,male
nm0520437,"december 30, 1920",Jack Lord,Jack,male
nm0588481,"july 11, 1928",Hope Miller,Hope,female
nm0808181,"january 6, 1926",Eugene Smith,Eugene,male
nm0163997,1910,Harry Clark,Harry,male
nm0316487,"december 27, 1919",William Gibberson,William,male
nm0397739,"january 22, 1918",Clark Howat,Clark,male
nm0694580,"december 20, 1931",Mala Powers,Mala,female
nm0163404,"september 11, 1914",Ralph Clanton,Ralph,male
nm0710250,"april 17, 1911",Gilman Rankin,Gilman,male
nm0000190,"november 4, 1969",Matthew McConaughey,Matthew,male
nm0004950,"april 17, 1972",Jennifer Garner,Jennifer,female
nm0001467,"december 26, 1971",Jared Leto,Jared,male
nm0001872,"november 13, 1967",Steve Zahn,Steve,male
nm0641354,"january 17, 1962",Denis O'Hare,Denis,male
nm0642259,"may 29, 1951",Michael O'Neill,Michael,male
nm1316767,"may 10, 1970",Dallas Roberts,Dallas,male
nm0001162,"june 8, 1955",Griffin Dunne,Griffin,male
nm0710271,"april 18, 1976",Kevin Rankin,Kevin,male
nm1251245,"august 24, 1963",Donna Duplantier,Donna,female
nm0878807,september 21,Deneen Tyler,Deneen,female
nm0263625,"november 5, 1968",JD Evermore,JD,male
nm0284812,"august 14, 1927",Jacqueline Fontaine,Jacqueline,female
nm0103584,"april 8, 1918",Buff Brady,Buff,male
nm0761576,"march 13, 1911",Hugh Sanders,Hugh,male
nm0000032,"october 4, 1923",Charlton Heston,Charlton,male
nm0450654,"august 24, 1943",Mark Keuning,Mark,male
nm0121900,"august 25, 1908",Walter Burke,Walter,male
nm0001666,"april 1, 1932",Debbie Reynolds,Debbie,female
nm0423460,"january 14, 1892",Anthony Jochim,Anthony,male
nm8800791,"september 21, 1917",Mark Lowell,Mark,male
nm0202405,"august 19, 1903",Claude Dauphin,Claude,male
nm0591035,"august 31, 1882",Silvio Minciotti,Silvio,male
nm0729870,"april 30, 1907",Carlo Rizzo,Carlo,male
nm0867796,"january 19, 1917",Michael Tor,Michael,male
nm0816737,"july 7, 1897",Erminio Spalla,Erminio,male
nm0147940,"april 19, 1904",Guido Celano,Guido,male
nm0616913,"december 18, 1921",John Myhers,John,male
nm0780005,"january 26, 1918",Vito Scotti,Vito,male
nm0001276,"february 26, 1916",Jackie Gleason,Jackie,female
nm0038066,"april 10, 1913",Jan Arvan,Jan,male
nm0931216,"february 8, 1907",Mack Williams,Mack,male
nm0698958,"january 5, 1919",Peter Prouse,Peter,male
nm0276007,"january 4, 1881",Norman Field,Norman,male
nm0639895,"may 2, 1902",Erin O'Brien-Moore,Erin,female
nm0821282,"november 7, 1903",Grace Stafford,Grace,female
nm0361924,"july 4, 1911",Suzette Harbin,Suzette,female
nm0921024,"october 6, 1929",Bert Wenland,Bert,male
nm1074033,"october 17, 1914",Steve Gibson,Steve,male
nm0327500,"may 4, 1911",James Gonzalez,James,male
nm0371754,"september 8, 1900",Jim Hayward,Jim,male
nm0716279,"august 10, 1912",Richard Reeves,Richard,male
nm0731452,"april 18, 1904",Ned Roberts,Ned,male
nm0949662,"may 4, 1920",James Young,James,male
nm0220709,"july 14, 1914",Hal Derwin,Hal,male
nm0816719,"december 7, 1915",Kim Spalding,Kim,female
nm0456803,"august 6, 1894",Jack Kirkwood,Jack,male
nm0671942,"october 4, 1895",Lea Penman,Lea,female
nm0410011,"january 21, 1928",Tom Irish,Tom,male
nm0566011,"july 3, 1925",M'liss McClure,M'liss,female
nm0608443,"february 14, 1912",Ben Moselle,Ben,male
nm0946974,"december 2, 1901",Concha Ybarra,Concha,female
nm0388893,"may 17, 1871",Gertrude Hoffman,Gertrude,female
nm0179792,"november 18, 1946",Jonathan Corey,Jonathan,male
nm0390228,"september 15, 1922",Glen Corbett,Glen,male
nm0416711,"september 23, 1921",Lois James,Lois,female
nm0021181,"december 22, 1894",Frank Allenby,Frank,male
nm0153178,"november 7, 1918",Zachary Charles,Zachary,male
nm0864851,"march 23, 1917",Kenneth Tobey,Kenneth,male
nm0046359,"june 6, 1923",John Baer,John,male
nm0257140,"september 13, 1913",Roy Engel,Roy,male
nm0720568,"december 10, 1941",Tommy Rettig,Tommy,male
nm0266397,"august 9, 1897",Gilbert Fallman,Gilbert,male
nm0021468,1923,Marie Allison,Marie,female
nm0390372,"october 16, 1915",Judd Holdren,Judd,male
nm0604508,"october 24, 1915",Boyd 'Red' Morgan,Boyd,male
nm1102454,"december 28, 1941",Donna Boswell,Donna,female
nm2954814,"july 10, 1991",Danielle Horvat,Danielle,female
nm0443135,"august 29, 1929",Mary Ellen Kay,Mary,female
nm0666506,"august 19, 1894",Diantha Pattison,Diantha,female
nm0492775,"july 4, 1898",Gertrude Lawrence,Gertrude,female
nm0334973,"september 10, 1903",Gertrude Graner,Gertrude,female
nm0017108,"october 22, 1923",Chris Alcaide,Chris,male
nm0151449,1928,Perdita Chandler,Perdita,female
nm0221528,"september 9, 1906",Victor Desny,Victor,male
nm0552185,"december 8, 1923",Dewey Martin,Dewey,male
nm0792815,"october 21, 1923",Gregg Sherwood,Gregg,male
nm0952406,"march 29, 1913",Tony Zale,Tony,male
nm0108596,"january 24, 1916",Jack Brickhouse,Jack,male
nm0675535,"july 27, 1910",Fern Persons,Fern,female
nm0557834,"april 23, 1913",Dick Mastro,Dick,male
nm0474658,"december 30, 1911",John Kullers,John,male
nm0887026,"august 23, 1883",Art Van Harvey,Art,male
nm0161396,"april 12, 1902",Stanley Church,Stanley,male
nm1072627,"september 4, 1899",Tillie Born,Tillie,female
nm0698985,"april 6, 1879",Jed Prouty,Jed,male
nm0378588,"september 16, 1912",Lou Herbert,Lou,female
nm0924964,"january 3, 1917",Jesse White,Jesse,male
nm0518838,"october 10, 1893",Lester Lonergan,Lester,male
nm0331466,"january 28, 1913",Maurice Gosfield,Maurice,male
nm0397467,"april 24, 1930",Lisa Howard,Lisa,female
nm0176260,"january 16, 1920",Steve Conte,Steve,male
nm0724519,"december 27, 1941",Duncan Richardson,Duncan,male
nm0319357,"may 31, 1897",Margalo Gillmore,Margalo,female
nm0585302,"july 6, 1935",Jerry Mickelsen,Jerry,male
nm0023002,"august 14, 1933",Jeralyn Alton,Jeralyn,female
nm0250881,"november 7, 1919",Aline Towne,Aline,female
nm0707889,"november 21, 1925",Rudy Rama,Rudy,male
nm0730074,"october 3, 1885",Viola Roache,Viola,female
nm0744060,"june 13, 1923",Susanne Rosser,Susanne,female
nm0528621,"february 26, 1888",William H. Lynn,William,male
nm0235627,"march 18, 1928",Peggy Dow,Peggy,female
nm0590013,"october 28, 1883",Grace Mills,Grace,female
nm0321982,"april 1, 1906",Ned Glass,Ned,male
nm4626316,"may 27, 1988",Stephen Hanthorn,Stephen,male
nm2315274,"march 10, 1979",Curtis Lyons,Curtis,male
nm4242878,"september 24, 1986",Casey Winn,Casey,male
nm0000857,"june 4, 1932",John Drew Barrymore,John,male
nm0440593,"march 4, 1896",Dave Kashner,Dave,male
nm0179459,"february 3, 1898",Frank Cordell,Frank,male
nm0485214,"may 12, 1892",William P. Lane Jr.,William,male
nm0061504,"july 11, 1890",John S. Battle,John,male
nm0779198,"april 17, 1896",W. Kerr Scott,W.,male
nm0029196,"march 5, 1920",Gaby André,Gaby,female
nm0916434,"october 14, 1924",Robert Webber,Robert,male
nm1405361,1940,Koko,Koko,female
nm0284803,"april 19, 1920",Frank Fontaine,Frank,male
nm0324576,"march 16, 1911",Harper Goff,Harper,male
nm0404635,"august 11, 1919",June Hutton,June,female
nm0523305,"august 24, 1913",Chuck Lowry,Chuck,male
nm0948290,"april 19, 1912",Clark Yocum,Clark,male
nm0364400,"january 19, 1902",Alan Harris,Alan,male
nm0139359,"march 11, 1920",Ike Carpenter,Ike,male
nm0482830,"june 14, 1907",Nappy Lamare,Nappy,male
nm1093810,"january 21, 1921",George Arnold,George,male
nm0551102,"march 30, 1926",Peter Marshall,Peter,male
nm0403601,"november 28, 1931",Gloria Winters,Gloria,female
nm0304532,"august 9, 1931",Ron Gans,Ron,male
nm0781254,"november 18, 1872",Margaret Seddon,Margaret,female
nm0453998,"september 18, 1889",Leslie Kimmell,Leslie,female
nm0380624,"june 13, 1916",Virginia Herrick,Virginia,female
nm0448585,"december 5, 1902",Jack Kenney,Jack,male
nm0498441,"september 1, 1922",Wendie Lee,Wendie,female
nm0020703,"february 8, 1911",Judith Allen,Judith,female
nm0267794,"november 16, 1915",Richard Farmer,Richard,male
nm0006752,"december 26, 1921",Steve Allen,Steve,male
nm0138270,"march 5, 1906",Aileen Carlyle,Aileen,female
nm0307698,"october 24, 1923",Don Garner,Don,male
nm0514501,"november 25, 1900",Arthur Little Jr.,Arthur,male
nm0197761,"july 30, 1923",Paul Dale,Paul,male
nm0794808,1932,Anne Sholter,Anne,female
nm0732697,"january 31, 1919",Jackie Robinson,Jackie,female
nm0002039,"october 27, 1922",Ruby Dee,Ruby,female
nm0817227,"may 4, 1880",William 'Bill' Spaulding,William,male
nm0357745,"june 12, 1928",Bernie Hamilton,Bernie,male
nm0341446,"december 18, 1897",Billy Griffith,Billy,male
nm0418681,"october 6, 1912",'Brother' Frank Jares,'Brother',
nm0138229,"february 15, 1929",Sue Carlton,Sue,female
nm0931300,"january 28, 1905",Mervin Williams,Mervin,male
nm0230934,"november 22, 1923",Guy Doleman,Guy,male
nm0445522,1897,Alec Kellaway,Alec,male
nm0317506,"march 11, 1911",Alan Gifford,Alan,male
nm0852425,"december 6, 1917",Grant Taylor,Grant,male
nm0783043,"march 24, 1909",Haydee Seldon,Haydee,female
nm0710422,"january 16, 1919",Frank Ransome,Frank,male
nm3927705,"november 21, 1927",Lita S. Bowman,Lita,female
nm0285818,"november 2, 1901",Paul Ford,Paul,male
nm0639690,"april 24, 1915",Marissa O'Brien,Marissa,female
nm0537340,"december 8, 1921",Leonor Maia,Leonor,female
nm0784069,1916,Licinio Sena,Licinio,male
nm0513298,"july 14, 1931",Helga Liné,Helga,female
nm0070178,"may 4, 1907",Álvaro Benamor,Álvaro,male
nm0011268,"april 14, 1935",Phil Adams,Phil,male
nm6602257,"july 5, 1928",Jim Baxes,Jim,male
nm0728349,"march 22, 1910",Dan Riss,Dan,male
nm0525154,"august 19, 1928",Laurette Luez,Laurette,female
nm0162750,"april 20, 1903",Michael Cirillo,Michael,male
nm0001289,"may 6, 1913",Stewart Granger,Stewart,male
nm0384696,"february 24, 1922",Steven Hill,Steven,male
nm0149027,"october 30, 1907",Renzo Cesana,Renzo,male
nm0166581,"november 26, 1918",John Cliff,John,male
nm0727893,"february 7, 1927",Lalo Rios,Lalo,male
nm0418524,"december 15, 1922",Maurice Jara,Maurice,male
nm0204867,"november 1, 1925",John Davis,John,male
nm0595635,"march 14, 1943",Gregory Moffett,Gregory,male
nm0399346,"december 5, 1909",Harold Huber,Harold,male
nm0865856,"october 11, 1926",Virginia Toland,Virginia,female
nm0058826,"november 27, 1922",Hall Bartlett,Hall,male
nm0680611,"july 6, 1923",Margaret Phillips,Margaret,female
nm0456533,"september 18, 1927",Phyllis Kirk,Phyllis,female
nm0659009,"december 10, 1909",Hermes Pan,Hermes,male
nm0027323,"august 8, 1926",Richard Anderson,Richard,male
nm0173637,"december 28, 1910",Cecil Combs,Cecil,male
nm0341186,"june 25, 1929",Frank Griffin,Frank,male
nm0769974,"july 6, 1922",William Schallert,William,male
nm0571754,"december 20, 1924",Sammy McKim,Sammy,male
nm0795046,"may 12, 1914",Edward C. Short,Edward,male
nm0001453,"january 22, 1932",Piper Laurie,Piper,female
nm0914018,"august 29, 1914",Willard Waterman,Willard,male
nm0697094,"september 14, 1938",Peter Price,Peter,male
nm0020005,"june 22, 1923",Richard Allan,Richard,male
nm0545301,"april 22, 1920",Hal March,Hal,male
nm0643211,"march 23, 1902",Philip Ober,Philip,male
nm0492342,"september 7, 1937",John Phillip Law,John,male
nm0022398,"january 5, 1928",David Alpert,David,male
nm0026379,"august 29, 1922",Arthur Anderson,Arthur,male
nm0920089,"march 23, 1926",Alan Wells,Alan,male
nm0587617,"may 15, 1914",Art Millan,Art,male
nm0000008,"april 3, 1924",Marlon Brando,Marlon,male
nm0432816,"july 28, 1923",Arthur Jurado,Arthur,male
nm0426989,"april 30, 1929",Patricia Joiner,Patricia,female
nm0920662,"march 20, 1930",Danny Welton,Danny,male
nm0426954,"february 7, 1908",William Johnstone,William,male
nm0390215,"september 1, 1930",Joyce Holden,Joyce,female
nm0625372,"may 6, 1911",Frank Nelson,Frank,male
nm0124236,"may 19, 1904",Anthony Bushell,Anthony,male
nm0301901,"november 1, 1921",Richard Gale,Richard,male
nm0002075,"september 28, 1916",Peter Finch,Peter,male
nm0289038,"may 19, 1939",James Fox,James,male
nm0656447,"december 13, 1907",Cicely Paget-Bowman,Cicely,female
nm0934345,"april 20, 1899",Ann Wilton,Ann,female
nm0218293,"may 14, 1903",Paul Demel,Paul,male
nm0233893,"june 19, 1924",Sandra Dorne,Sandra,female
nm0499315,"february 7, 1904",Alison Leggatt,Alison,female
nm0152487,"april 21, 1926",Pattee Chapman,Pattee,male
nm4726634,"march 7, 1995",Haley Lu Richardson,Haley,female
nm4977122,"december 8, 1998",Owen Teague,Owen,male
nm4726999,1978,Eugene Brave Rock,Eugene,male
nm0167737,"december 5, 1948",Anthony Cobb,Anthony,male
nm0167818,"december 5, 1948",Tracy Cobb,Tracy,female
nm0511094,"november 16, 1903",Caryl Lincoln,Caryl,female
nm0518673,"august 28, 1901",Babe London,Babe,female
nm0552416,"september 1, 1891",Irene Martin,Irene,female
nm0150718,"september 2, 1919",Marge Champion,Marge,female
nm0150706,"june 22, 1921",Gower Champion,Gower,male
nm0457025,"july 6, 1910",Dorothy Kirsten,Dorothy,female
nm0498007,"may 26, 1920",Peggy Lee,Peggy,female
nm0026399,"april 11, 1922",Beau Anderson,Beau,male
nm0854528,"may 6, 1922",Basil Tellou,Basil,male
nm0000027,"april 2, 1914",Alec Guinness,Alec,male
nm0712738,"may 31, 1939",Andrew Ray,Andrew,male
nm0132224,"july 31, 1922",Beatrice Campbell,Beatrice,female
nm0824389,"may 21, 1920",Anthony Steel,Anthony,male
nm0276155,"february 17, 1892",Marjorie Fielding,Marjorie,female
nm0807761,"january 22, 1928",Constance Smith,Constance,female
nm0024628,"september 29, 1923",Nicholas Amer,Nicholas,male
nm0097848,"january 31, 1880",Wallace Bosco,Wallace,male
nm0111721,"march 4, 1911",Michael Brooke,Michael,male
nm0163919,"february 12, 1912",Ernest Clark,Ernest,male
nm1042249,"august 31, 1926",Patricia Davidson,Patricia,female
nm0218907,"june 6, 1890",Grace Denbeigh-Russell,Grace,female
nm0226996,"july 29, 1888",George Dillon,George,male
nm0284289,"april 7, 1918",Bob Folkerson,Bob,male
nm0000188,"august 14, 1945",Steve Martin,Steve,male
nm0000349,"october 11, 1962",Joan Cusack,Joan,female
nm0563039,"october 20, 1952",Melanie Mayron,Melanie,female
nm0001406,"june 18, 1952",Carol Kane,Carol,female
nm0382676,"september 19, 1927",William Hickey,William,male
nm0750658,"april 10, 1954",Deborah Rush,Deborah,female
nm0827663,"august 28, 1957",Daniel Stern,Daniel,male
nm0103038,"may 28, 1979",Jesse Bradford,Jesse,male
nm0140393,"august 20, 1980",Corey Carrier,Corey,male
nm0491590,"october 30, 1938",Ed Lauter,Ed,male
nm0131974,"june 7, 1953",Colleen Camp,Colleen,female
nm0192963,"september 25, 1965",Gordon Currie,Gordon,male
nm0640486,"september 13, 1952",Raymond O'Connor,Raymond,male
nm0791325,"september 20, 1912",Don Shelton,Don,male
nm0048433,"july 13, 1883",Elsie Baker,Elsie,female
nm0151429,"november 14, 1915",Mack Chandler,Mack,male
nm0712672,"may 2, 1911",Frank Rawls,Frank,male
nm0799527,"january 23, 1916",Peter Similuk,Peter,male
nm2177557,"september 14, 1907",Cecil Brown,Cecil,male
nm0936727,"march 12, 1917",Googie Withers,Googie,male
nm0953989,"april 1, 1879",Stanislaus Zbyszko,Stanislaus,male
nm0268191,"august 6, 1900",Charles Farrell,Charles,male
nm0716100,"march 3, 1874",Ada Reeve,Ada,female
nm0725125,"july 10, 1926",Ken Richmond,Ken,male
nm0088942,"august 31, 1920",Derek Blomfield,Derek,male
nm0118783,"january 5, 1897",Clifford Buckton,Clifford,male
nm0124680,"april 7, 1885",Ernest Butcher,Ernest,male
nm0125350,"february 4, 1915",Peter Butterworth,Peter,male
nm0151236,"september 18, 1927",Naomi Chance,Naomi,female
nm0152361,"october 13, 1901",Edward Chapman,Edward,male
nm0167830,"april 26, 1892",Clifford Cobbe,Clifford,male
nm0079328,"february 13, 1915",Lyle Bettger,Lyle,male
nm0383481,"april 25, 1894",Rose Higgins,Rose,female
nm0837925,"may 16, 1909",Margaret Sullavan,Margaret,female
nm0502844,"may 14, 1910",Urylee Leonardos,Urylee,
nm0809393,"may 16, 1921",Mildred Joanne Smith,Mildred,female
nm0424987,"february 3, 1913",Dots Johnson,Dots,male
nm0102025,"april 13, 1928",Eileen Boyer,Eileen,female
nm0175619,"november 28, 1909",Charles J. Conrad,Charles,male
nm0127693,"july 9, 1927",Susan Cabot,Susan,female
nm0519584,"february 20, 1908",Leon Lontoc,Leon,male
nm0191025,"august 2, 1920",Amilda Cuddy,Amilda,female
nm0333815,"november 4, 1913",Phyllis Graffeo,Phyllis,female
nm0001128,"november 8, 1935",Alain Delon,Alain,male
nm0000268,"april 28, 1941",Ann-Margret,Ann-Margret,female
nm0001588,"february 18, 1919",Jack Palance,Jack,male
nm0151405,"january 28, 1935",John Davis Chandler,John,male
nm0593083,"december 15, 1926",Steve Mitchell,Steve,male
nm0516804,"september 19, 1959",Tammy Locke,Tammy,female
nm0615540,"june 30, 1936",Tony Musante,Tony,male
nm0548579,"october 21, 1933",Zekial Marko,Zekial,male
nm0793715,"august 10, 1921",Yuki Shimoda,Yuki,female
nm0288311,"may 5, 1908",Robert Foulk,Robert,male
nm0498967,"august 20, 1918",Henry Leff,Henry,male
nm0697657,"june 3, 1942",Ginger Prince,Ginger,female
nm0254199,"october 25, 1887",Cecil Elliott,Cecil,male
nm0738139,"february 3, 1890",Emma Roldán,Emma,female
nm0358002,"august 16, 1934",Kipp Hamilton,Kipp,male
nm0175912,"january 2, 1935",John Considine,John,male
nm0322681,"april 25, 1931",Betty Jeanne Glennie,Betty,female
nm0358017,"april 10, 1917",Lillian Hamilton,Lillian,female
nm0666292,"august 3, 1911",Kenneth Patterson,Kenneth,male
nm0546073,"march 13, 1888",Bernie Marcus,Bernie,male
nm0566063,"december 28, 1928",Joyce McCluskey,Joyce,female
nm0314947,"september 27, 1915",Frank Gerstle,Frank,male
nm0001616,"december 29, 1974",Mekhi Phifer,Mekhi,male
nm0365445,"october 17, 1969",Wood Harris,Wood,male
nm0564277,"september 23, 1961",Chi McBride,Chi,male
nm0005246,"october 1, 1962",Esai Morales,Esai,male
nm1004112,"february 4, 1976",Cam'ron,Cam'ron,male
nm0005264,"march 14, 1966",Elise Neal,Elise,female
nm0356021,"december 12, 1970",Regina Hall,Regina,female
nm0429171,"january 8, 1957",Ron Cephas Jones,Ron,male
nm0155913,"july 16, 1973",Jonas Chernick,Jonas,male
nm0561345,1919,Charles Mauu,Charles,male
nm0001549,"december 11, 1931",Rita Moreno,Rita,female
nm3012762,"january 25, 1934",Iwalani Kahalewai,Iwalani,female
nm0152304,"october 29, 1928",Ben Chapman,Ben,male
nm0182280,"october 19, 1916",Philip Ho'onani Costa,Philip,male
nm0207511,"october 7, 1878",Birdie De Bolt,Birdie,female
