actorid,dob
nm0250711,"november 28, 1888"
nm0398439,"january 25, 1896"
nm1265067,"july 6, 1975"
nm0004754,"march 3, 1982"
nm0696169,"august 18, 1977"
nm0000207,"february 12, 1980"
nm0614877,"august 24, 1981"
nm0005389,"may 10, 1959"
nm0635139,march 11
nm0749490,"april 17, 1956"
nm0427389,"april 29, 1983"
nm0625727,"december 29, 1964"
nm1228007,february 8
nm0878918,"june 20, 1916"
nm0943511,"may 7, 1917"
nm0956544,"november 30, 1918"
nm0591034,"may 20, 1888"
nm0820822,"january 22, 1895"
nm0101172,"january 1, 1875"
nm0028132,"november 29, 1923"
nm0683984,"july 16, 1920"
nm0280649,"may 8, 1924"
nm0286685,"october 10, 1915"
nm0010468,"january 3, 1900"
nm0011593,"april 7, 1922"
nm0048734,"january 28, 1910"
nm0050163,"february 11, 1918"
nm0111030,"august 15, 1900"
nm0189624,"march 7, 1899"
nm1156846,"march 8, 1915"
nm0938923,"january 3, 1905"
nm0334309,"september 15, 1904"
nm0886739,"march 26, 1922"
nm0035147,"april 21, 1929"
nm0484829,"november 25, 1896"
nm0105267,"october 31, 1916"
nm0124877,"december 17, 1894"
nm0573137,"january 23, 1884"
nm0247518,"april 4, 1894"
nm0408179,"march 25, 1888"
nm0566584,"february 8, 1908"
nm0501918,"december 6, 1898"
nm0042855,"april 7, 1925"
nm0814217,"july 5, 1903"
nm0132186,"october 12, 1888"
nm0633839,"march 25, 1904"
nm0516948,"may 5, 1902"
nm0531313,"june 18, 1897"
nm0651650,"october 3, 1920"
nm0159245,"november 14, 1914"
nm0582211,"april 28, 1911"
nm1631530,"may 19, 1910"
nm0382726,"october 16, 1906"
nm0551845,"march 10, 1936"
nm0627735,"march 12, 1905"
nm0149204,"july 28, 1912"
nm1092356,"august 20, 1883"
nm0165858,"june 15, 1894"
nm0192760,"april 12, 1878"
nm0686840,"june 26, 1891"
nm0433326,"may 31, 1904"
nm0170475,"december 15, 1916"
nm0717689,"october 30, 1915"
nm0206384,"october 22, 1912"
nm0269044,"january 24, 1900"
nm0915409,"january 13, 1914"
nm0456724,"october 2, 1897"
nm0680237,"october 20, 1913"
nm0420604,"august 21, 1908"
nm0300826,"april 19, 1910"
nm0848560,"december 30, 1934"
nm0522984,"august 27, 1899"
nm0891701,"february 9, 1914"
nm0099197,"july 17, 1917"
nm0817269,"april 4, 1888"
nm0338516,"january 1, 1911"
nm0271430,"november 3, 1918"
nm0063961,"september 5, 1920"
nm0656724,"july 7, 1906"
nm0501494,"september 22, 1920"
nm0343033,"january 15, 1920"
nm0330323,"february 18, 1915"
nm0552802,"november 16, 1920"
nm0139705,"january 10, 1914"
nm0870253,"november 12, 1925"
nm0307963,"april 15, 1900"
nm0838057,"july 4, 1907"
nm0498608,"may 30, 1917"
nm0110201,"march 16, 1901"
nm0259545,"january 21, 1915"
nm0110051,"july 7, 1912"
nm0723465,"june 6, 1894"
nm0560786,"july 22, 1892"
nm0810180,"september 10, 1892"
nm0000215,"october 4, 1946"
nm0000213,"october 29, 1971"
nm0000379,"april 30, 1982"
nm0000132,"april 12, 1979"
nm0000321,"may 12, 1950"
nm0000746,"january 10, 1967"
nm0000526,"may 12, 1970"
nm0000288,"january 30, 1974"
nm0000655,"september 30, 1961"
nm0627453,"may 2, 1925"
nm0665488,"november 3, 1927"
nm0172647,"november 26, 1978"
nm0163792,"december 20, 1968"
nm0867480,september 1943
nm0876792,"november 17, 1920"
nm0242737,"november 21, 1896"
nm0405144,"december 11, 1920"
nm0178829,"april 26, 1910"
nm0139292,"july 10, 1926"
nm0036627,1885
nm0392092,"august 17, 1914"
nm0271922,"october 22, 1891"
nm0726712,"february 12, 1885"
nm0828651,"september 30, 1887"
nm0254980,"may 11, 1905"
nm0769690,"june 29, 1905"
nm0898892,"december 23, 1914"
nm1985859,"october 25, 1989"
nm0406975,"july 22, 1967"
nm3009232,"september 30, 1992"
nm1334869,"november 1, 1976"
nm1631222,"august 11, 1985"
nm3882295,"july 16, 1986"
nm0332709,"july 22, 1963"
nm1340109,"november 3, 1989"
nm0179549,"july 19, 1950"
nm2813870,"october 20, 1976"
nm1861862,"april 13, 1967"
nm6077056,"march 17, 1989"
nm0088751,"february 3, 1903"
nm0419028,"july 4, 1909"
nm0481840,"march 30, 1913"
nm0402593,"may 10, 1907"
nm0823545,"july 21, 1922"
nm0808544,"november 16, 1913"
nm0363992,"june 8, 1937"
nm0304949,"november 5, 1897"
nm0556861,"may 8, 1913"
nm0921963,"march 31, 1901"
nm0483799,"february 25, 1915"
nm0181305,"january 1, 1923"
nm0861662,"january 20, 1891"
nm0183184,"june 6, 1918"
nm0153717,"march 6, 1901"
nm0894677,"july 15, 1908"
nm0250066,"march 6, 1918"
nm0837299,"april 3, 1921"
nm0912911,"july 12, 1905"
nm0390273,"september 28, 1908"
nm0420159,"march 10, 1898"
nm0947762,"july 14, 1896"
nm0060740,"may 24, 1910"
nm0400722,"november 14, 1928"
nm0165737,"june 12, 1915"
nm0278152,1919
nm0339141,"january 18, 1930"
nm0666097,"october 11, 1925"
nm7224984,"october 7, 1921"
nm0106224,"july 16, 1905"
nm0409194,"december 18, 1900"
nm0502566,"october 28, 1916"
nm0502559,"july 22, 1915"
nm0923906,"july 12, 1920"
nm0445290,"february 10, 1890"
nm0575221,"july 18, 1910"
nm0661577,"july 25, 1925"
nm0104507,"august 13, 1920"
nm0001509,"june 7, 1917"
nm0001471,"march 16, 1926"
nm0321469,"october 27, 1896"
nm0330225,"may 7, 1881"
nm0186576,"january 11, 1912"
nm0079012,1929
nm0593333,"may 13, 1905"
nm0069048,"february 6, 1922"
nm0286692,"may 28, 1925"
nm0229697,"september 16, 1919"
nm0526949,"september 30, 1921"
nm0125287,"october 28, 1895"
nm0828754,"october 23, 1903"
nm0781543,"april 29, 1897"
nm0926691,"march 2, 1907"
nm0458637,"august 16, 1885"
nm0184785,"december 14, 1884"
nm0860050,"june 7, 1920"
nm0567224,"june 16, 1893"
nm1546413,"june 18, 1926"
nm0891648,"september 9, 1873"
nm0668879,"october 16, 1917"
nm0316993,"august 27, 1892"
nm0396473,"june 4, 1914"
nm0493865,"august 25, 1907"
nm0621306,"october 21, 1895"
nm0000136,"june 9, 1963"
nm0001691,"july 6, 1951"
nm0461136,"march 26, 1985"
nm0202603,"march 1, 1973"
nm0000596,"june 1, 1947"
nm0188871,"september 29, 1971"
nm1400933,"august 13, 1977"
nm0055845,1963
nm0047549,"december 4, 1937"
nm1400913,"december 27, 1964"
nm0573618,"april 27, 1956"
nm0262125,"july 21, 1965"
nm0757855,"june 19, 1978"
nm0801838,"october 16, 1947"
nm0000989,"july 11, 1920"
nm2310384,"may 23, 1918"
nm0415185,"may 11, 1912"
nm0598574,"september 2, 1919"
nm0078055,"september 29, 1924"
nm0103320,"september 1, 1907"
nm0138796,"january 16, 1911"
nm0213895,"october 22, 1913"
nm0848315,"june 7, 1920"
nm0070586,"may 16, 1908"
nm0932248,"september 17, 1915"
nm0838066,"january 6, 1903"
nm1176963,"april 29, 1913"
nm0095362,"july 14, 1917"
nm0314867,"april 20, 1914"
nm0579684,"november 2, 1921"
nm0527432,"december 18, 1887"
nm1409633,"march 28, 1912"
nm0726215,"may 13, 1899"
nm0700751,"may 11, 1912"
nm0713363,"september 29, 1916"
nm0551559,"may 23, 1918"
nm0854799,"january 6, 1935"
nm0052379,"november 15, 1930"
nm4126973,"january 18, 1923"
nm4126339,"september 27, 1926"
nm4126378,"may 2, 1921"
nm0011075,"january 6, 1911"
nm0134856,"november 6, 1908"
nm0130794,"april 30, 1925"
nm0740718,"october 23, 1910"
nm0544787,"november 17, 1905"
nm0544792,"january 9, 1912"
nm0262896,"july 18, 1934"
nm0797408,"february 24, 1887"
nm0852307,"november 13, 1907"
nm0736990,"december 15, 1925"
nm0389599,"april 15, 1919"
nm0347946,"june 7, 1920"
nm0898643,"december 23, 1908"
nm0740578,"august 19, 1929"
nm0212112,"october 12, 1896"
nm0090848,"may 21, 1911"
nm0081697,"june 2, 1877"
nm0103318,"january 12, 1900"
nm0174714,"may 22, 1909"
nm0552732,"october 25, 1898"
nm0507904,"january 13, 1916"
nm0551337,"march 30, 1922"
nm0211460,"june 15, 1909"
nm0369967,"december 15, 1912"
nm0382845,"march 2, 1891"
nm0430201,"may 23, 1924"
nm0542016,"june 28, 1918"
nm0172687,"june 5, 1902"
nm0153773,"january 27, 1915"
nm1134440,"october 13, 1923"
nm0496081,"september 2, 1924"
nm0533538,"april 8, 1924"
nm0766901,"october 12, 1943"
nm0930236,"july 5, 1907"
nm0159933,"october 28, 1913"
nm0779549,"september 22, 1912"
nm0336454,"november 4, 1938"
nm0287750,"april 13, 1920"
nm0491132,"may 17, 1918"
nm0225459,"june 6, 1907"
nm0245846,"november 10, 1896"
nm0790316,"september 5, 1900"
nm0412424,"november 19, 1894"
nm0341139,"september 2, 1888"
nm0507019,"december 27, 1916"
nm0332490,
nm0000350,"november 15, 1951"
mber 19," 1905"""
nm0189331,"january 7, 1896"
nm0250724,"july 29, 1921"
nm0565088,"september 9, 1882"
nm0027482,"february 10, 1920"
nm1403453,"may 23, 1933"
nm0057092,"november 3, 1929"
nm0079965,"september 13, 1933"
nm0715068,"july 27, 1913"
nm0835698,"january 19, 1919"
nm0061046,"december 11, 1926"
nm1569149,"january 8, 1925"
nm1569150,"january 8, 1925"
nm0156317,"august 15, 1916"
nm0570468,"october 3, 1902"
nm0487292,"january 31, 1921"
nm0139620,"july 29, 1928"
nm0202088,"december 18, 1911"
nm0570367,"august 28, 1901"
nm0626371,"january 31, 1904"
nm0123564,"february 3, 1926"
nm0189618,"march 2, 1899"
nm0654286,"january 20, 1898"
nm0846807,"october 11, 1887"
nm0370564,"june 10, 1886"
nm0793574,"november 17, 1906"
nm0824621,"august 27, 1930"
nm0446119,"april 16, 1921"
nm0391965,"october 15, 1908"
nm0540992,"december 14, 1918"
nm0372527,"january 19, 1901"
nm0668510,"november 16, 1927"
nm0439817,"june 19, 1917"
nm0141311,"june 8, 1909"
nm0713968,"july 18, 1903"
nm0241900,"april 6, 1925"
nm0447409,"may 25, 1898"
nm0532343,"october 19, 1924"
nm0089915,"august 9, 1921"
nm0117252,"january 31, 1924"
nm0357910,"november 7, 1893"
nm0575552,"september 14, 1919"
nm0068260,"march 14, 1986"
nm0524197,"june 20, 1971"
nm0000551,"october 31, 1963"
nm0015913,"july 7, 1991"
nm0829576,"april 9, 1990"
nm0519486,november 8
nm0521761,"april 7, 1944"
nm0745852,"july 2, 1954"
nm0372366,september 14
nm0045209,"april 19, 1973"
nm0032375,"december 7, 1978"
nm0078108,"october 24, 1891"
nm0088436,"march 22, 1907"
nm0039510,"march 28, 1908"
nm0639366,"december 11, 1903"
nm1258511,"may 10, 1936"
nm0714485,"october 30, 1906"
nm0269485,"december 2, 1915"
nm0869765,"october 18, 1905"
nm0013882,"march 25, 1905"
nm0206191,"july 22, 1911"
nm0449467,"august 29, 1905"
nm0532976,"september 24, 1897"
nm0743218,"february 23, 1909"
nm0115388,"may 22, 1924"
nm0901143,"july 30, 1927"
nm0123251,"march 19, 1920"
nm0733088,"november 5, 1938"
nm0077481,"august 18, 1913"
nm0077698,"december 25, 1922"
nm0293659,"june 22, 1920"
nm0949300,"january 1, 1897"
nm9835405,"december 30, 1914"
nm0124889,"november 16, 1916"
nm0569151,"march 4, 1907"
nm0360684,"july 11, 1897"
nm0916075,"may 24, 1906"
nm0925429,"may 28, 1894"
nm0056020,"march 14, 1913"
nm0239310,"november 6, 1916"
nm0147084,"june 17, 1921"
nm0028163,"may 12, 1919"
nm0711855,"april 20, 1897"
nm0384154,"march 5, 1926"
nm0364988,"april 2, 1890"
nm0700422,"november 11, 1917"
nm0835140,"march 27, 1907"
nm0605330,"january 27, 1896"
nm0696163,"august 22, 1922"
nm0001181,"november 13, 1920"
nm0181257,1924
nm0212034,c. 1924
nm0225055,"july 29, 1932"
nm0408611,"december 25, 1917"
nm0444476,"april 13, 1919"
nm0020942,"december 31, 1920"
nm0848251,"february 4, 1915"
nm0820895,"may 29, 1909"
nm0268353,"october 7, 1921"
nm0001894,"november 20, 1923"
nm0579391,"december 18, 1907"
nm0285362,"october 8, 1920"
nm0515160,"april 3, 1923"
nm0675340,"november 24, 1918"
nm0014761,"october 4, 1902"
nm0655893,"july 14, 1898"
nm0645904,"september 30, 1908"
nm0482881,"january 9, 1915"
nm0534306,"september 24, 1921"
nm0236110,"june 26, 1903"
nm0683991,"july 31, 1923"
nm0450434,"november 14, 1944"
nm0744441,"february 18, 1908"
nm0185341,"january 31, 1909"
nm0341351,"july 31, 1902"
nm0553729,"january 27, 1920"
nm4006077,"january 23, 1898"
nm0930207,"june 13, 1931"
nm0889203,"may 24, 1914"
nm1147661,"september 18, 1928"
nm0893468,"september 16, 1903"
nm0709695,"july 24, 1909"
nm0497204,"july 28, 1899"
nm0086636,"may 31, 1899"
nm0024320,"may 19, 1911"
nm0093245,"december 7, 1904"
nm0096022,"march 16, 1925"
nm0530422,"december 20, 1920"
nm0368394,"july 11, 1903"
nm0797974,"july 22, 1903"
nm0578896,"january 12, 1900"
nm0760495,"january 13, 1885"
nm0293099,"november 3, 1919"
nm0591814,"may 23, 1883"
nm0872640,"december 2, 1889"
nm0943905,"january 15, 1887"
nm0631307,"may 3, 1903"
nm0039696,"august 10, 1906"
nm0480576,"september 13, 1895"
nm0898107,"july 7, 1892"
nm0054225,"january 10, 1889"
nm0018602,"july 3, 1923"
nm0862677,"march 11, 1920"
nm0087015,"november 4, 1903"
nm0299574,1896
nm0041438,"august 3, 1928"
nm0370144,"september 14, 1910"
nm0719692,"august 25, 1909"
nm0007042,"september 11, 1917"
nm0163515,"july 17, 1892"
nm0572324,"july 19, 1884"
nm0433150,"june 15, 1907"
nm0651791,"july 14, 1891"
nm0002131,"october 1, 1928"
nm0190011,"november 27, 1915"
nm0409105,"march 25, 1895"
nm0743681,"december 15, 1911"
nm0186311,"april 11, 1917"
nm0709819,"august 7, 1923"
nm0455060,"august 21, 1905"
nm0366428,"may 28, 1923"
nm0177806,"august 28, 1917"
nm0224614,"june 4, 1921"
nm0449410,"november 18, 1925"
nm0356794,"december 31, 1911"
nm0653239,"october 15, 1878"
nm0646915,"october 5, 1879"
nm0248304,"july 18, 1896"
nm0537167,"march 16, 1918"
nm0605899,"july 5, 1912"
nm0661146,"december 25, 1908"
nm0802093,"september 22, 1883"
nm0736688,"october 20, 1911"
nm0341311,"july 6, 1925"
nm0941125,"april 10, 1921"
nm0001620,"june 29, 1919"
nm0532057,"september 12, 1925"
nm0361048,"december 5, 1921"
nm0174280,"september 12, 1921"
nm0379621,"july 19, 1896"
nm0002269,"june 5, 1905"
nm0241589,"july 25, 1899"
nm0858409,"april 22, 1919"
nm0132930,"october 30, 1923"
nm0414046,"february 15, 1942"
nm0101633,"august 4, 1938"
nm0140924,"august 26, 1908"
nm0167089,"june 1, 1921"
nm0681608,"december 1, 1922"
nm0921879,"november 19, 1922"
nm0036400,"january 23, 1925"
nm0000237,"february 18, 1954"
nm0005148,"november 18, 1952"
nm0348409,"november 15, 1945"
nm0518989,"january 6, 1960"
nm0193554,"september 30, 1950"
nm0860233,"august 31, 1940"
nm0252929,1970
nm0869467,"february 15, 1958"
nm0081827,"april 4, 1955"
nm0101500,"february 7, 1965"
nm0228875,"june 6, 1930"
nm0161451,"december 26, 1910"
nm0200580,"october 3, 1883"
nm0741471,"may 14, 1905"
nm0043086,"august 28, 1915"
nm0862545,"february 9, 1920"
nm0311141,"november 21, 1923"
nm0508297,"january 31, 1931"
nm0717362,"august 22, 1903"
nm0015976,"october 25, 1919"
nm0052039,"april 12, 1942"
nm0654494,1936
nm9174604,"june 22, 1951"
nm0089122,"september 13, 1939"
nm0092906,"march 1, 1955"
nm0391633,"september 17, 1942"
nm0728132,"october 30, 1949"
nm0792444,"may 14, 1905"
nm0202297,"october 27, 1910"
nm0372789,"september 17, 1890"
nm0550867,june 1927
nm0704660,"june 30, 1921"
nm0198445,"september 28, 1914"
nm0054833,"may 1, 1937"
nm0183808,"october 28, 1948"
nm0186433,"september 9, 1925"
nm0589977,"november 20, 1894"
nm4141252,"april 5, 1989"
nm0534635,"june 18, 1986"
nm0000307,"may 26, 1966"
nm1996829,"november 17, 1978"
nm0001745,"june 13, 1951"
nm2904789,"may 17, 1985"
nm0334441,"march 27, 1988"
nm0001394,"october 22, 1938"
nm0001035,"july 31, 1970"
nm0117339,"may 3, 1965"
nm5480041,"september 23, 1986"
nm1276507,"november 30, 1973"
nm2622652,"august 21, 1978"
nm4757927,"september 3, 2003"
nm0011105,"october 17, 1926"
nm0164457,"april 15, 1928"
nm0170873,"december 2, 1909"
nm0046373,"august 5, 1914"
nm0078940,"july 26, 1926"
nm0717203,"august 14, 1893"
nm0086469,"february 20, 1929"
nm0552683,"november 1, 1894"
nm0123186,"march 3, 1930"
nm0011148,"may 13, 1922"
nm0069619,"july 14, 1906"
nm0520437,"december 30, 1920"
nm0588481,"july 11, 1928"
nm0808181,"january 6, 1926"
nm0163997,1910
nm0316487,"december 27, 1919"
nm0397739,"january 22, 1918"
nm0694580,"december 20, 1931"
nm0163404,"september 11, 1914"
nm0710250,"april 17, 1911"
nm0000190,"november 4, 1969"
nm0004950,"april 17, 1972"
nm0001467,"december 26, 1971"
nm0001872,"november 13, 1967"
nm0641354,"january 17, 1962"
nm0642259,"may 29, 1951"
nm1316767,"may 10, 1970"
nm0001162,"june 8, 1955"
nm0710271,"april 18, 1976"
nm1251245,"august 24, 1963"
nm0878807,september 21
nm0263625,"november 5, 1968"
nm0284812,"august 14, 1927"
nm0103584,"april 8, 1918"
nm0761576,"march 13, 1911"
nm0000032,"october 4, 1923"
nm0450654,"august 24, 1943"
nm0121900,"august 25, 1908"
nm0001666,"april 1, 1932"
nm0423460,"january 14, 1892"
nm8800791,"september 21, 1917"
nm0202405,"august 19, 1903"
nm0591035,"august 31, 1882"
nm0729870,"april 30, 1907"
nm0867796,"january 19, 1917"
nm0816737,"july 7, 1897"
nm0147940,"april 19, 1904"
nm0616913,"december 18, 1921"
nm0780005,"january 26, 1918"
nm0001276,"february 26, 1916"
nm0038066,"april 10, 1913"
nm0931216,"february 8, 1907"
nm0698958,"january 5, 1919"
nm0276007,"january 4, 1881"
nm0639895,"may 2, 1902"
nm0821282,"november 7, 1903"
nm0361924,"july 4, 1911"
nm0921024,"october 6, 1929"
nm1074033,"october 17, 1914"
nm0327500,"may 4, 1911"
nm0371754,"september 8, 1900"
nm0716279,"august 10, 1912"
nm0731452,"april 18, 1904"
nm0949662,"may 4, 1920"
nm0220709,"july 14, 1914"
nm0816719,"december 7, 1915"
nm0456803,"august 6, 1894"
nm0671942,"october 4, 1895"
nm0410011,"january 21, 1928"
nm0566011,"july 3, 1925"
nm0608443,"february 14, 1912"
nm0946974,"december 2, 1901"
nm0388893,"may 17, 1871"
nm0179792,"november 18, 1946"
nm0390228,"september 15, 1922"
nm0416711,"september 23, 1921"
nm0021181,"december 22, 1894"
nm0153178,"november 7, 1918"
nm0864851,"march 23, 1917"
nm0046359,"june 6, 1923"
nm0257140,"september 13, 1913"
nm0720568,"december 10, 1941"
nm0266397,"august 9, 1897"
nm0021468,1923
nm0390372,"october 16, 1915"
nm0604508,"october 24, 1915"
nm1102454,"december 28, 1941"
nm2954814,"july 10, 1991"
nm0443135,"august 29, 1929"
nm0666506,"august 19, 1894"
nm0492775,"july 4, 1898"
nm0334973,"september 10, 1903"
nm0017108,"october 22, 1923"
nm0151449,1928
nm0221528,"september 9, 1906"
nm0552185,"december 8, 1923"
nm0792815,"october 21, 1923"
nm0952406,"march 29, 1913"
nm0108596,"january 24, 1916"
nm0675535,"july 27, 1910"
nm0557834,"april 23, 1913"
nm0474658,"december 30, 1911"
nm0887026,"august 23, 1883"
nm0161396,"april 12, 1902"
nm1072627,"september 4, 1899"
nm0698985,"april 6, 1879"
nm0378588,"september 16, 1912"
nm0924964,"january 3, 1917"
nm0518838,"october 10, 1893"
nm0331466,"january 28, 1913"
nm0397467,"april 24, 1930"
nm0176260,"january 16, 1920"
nm0724519,"december 27, 1941"
nm0319357,"may 31, 1897"
nm0585302,"july 6, 1935"
nm0023002,"august 14, 1933"
nm0250881,"november 7, 1919"
nm0707889,"november 21, 1925"
nm0730074,"october 3, 1885"
nm0744060,"june 13, 1923"
nm0528621,"february 26, 1888"
nm0235627,"march 18, 1928"
nm0590013,"october 28, 1883"
nm0321982,"april 1, 1906"
nm4626316,"may 27, 1988"
nm2315274,"march 10, 1979"
nm4242878,"september 24, 1986"
nm0000857,"june 4, 1932"
nm0440593,"march 4, 1896"
nm0179459,"february 3, 1898"
nm0485214,"may 12, 1892"
nm0061504,"july 11, 1890"
nm0779198,"april 17, 1896"
nm0029196,"march 5, 1920"
nm0916434,"october 14, 1924"
nm1405361,1940
nm0284803,"april 19, 1920"
nm0324576,"march 16, 1911"
nm0404635,"august 11, 1919"
nm0523305,"august 24, 1913"
nm0948290,"april 19, 1912"
nm0364400,"january 19, 1902"
nm0139359,"march 11, 1920"
nm0482830,"june 14, 1907"
nm1093810,"january 21, 1921"
nm0551102,"march 30, 1926"
nm0403601,"november 28, 1931"
nm0304532,"august 9, 1931"
nm0781254,"november 18, 1872"
nm0453998,"september 18, 1889"
nm0380624,"june 13, 1916"
nm0448585,"december 5, 1902"
nm0498441,"september 1, 1922"
nm0020703,"february 8, 1911"
nm0267794,"november 16, 1915"
nm0006752,"december 26, 1921"
nm0138270,"march 5, 1906"
nm0307698,"october 24, 1923"
nm0514501,"november 25, 1900"
nm0197761,"july 30, 1923"
nm0794808,1932
nm0732697,"january 31, 1919"
nm0002039,"october 27, 1922"
nm0817227,"may 4, 1880"
nm0357745,"june 12, 1928"
nm0341446,"december 18, 1897"
nm0418681,"october 6, 1912"
nm0138229,"february 15, 1929"
nm0931300,"january 28, 1905"
nm0230934,"november 22, 1923"
nm0445522,1897
nm0317506,"march 11, 1911"
nm0852425,"december 6, 1917"
nm0783043,"march 24, 1909"
nm0710422,"january 16, 1919"
nm3927705,"november 21, 1927"
nm0285818,"november 2, 1901"
nm0639690,"april 24, 1915"
nm0537340,"december 8, 1921"
nm0784069,1916
nm0513298,"july 14, 1931"
nm0070178,"may 4, 1907"
nm0011268,"april 14, 1935"
nm6602257,"july 5, 1928"
nm0728349,"march 22, 1910"
nm0525154,"august 19, 1928"
nm0162750,"april 20, 1903"
nm0001289,"may 6, 1913"
nm0384696,"february 24, 1922"
nm0149027,"october 30, 1907"
nm0166581,"november 26, 1918"
nm0727893,"february 7, 1927"
nm0418524,"december 15, 1922"
nm0204867,"november 1, 1925"
nm0595635,"march 14, 1943"
nm0399346,"december 5, 1909"
nm0865856,"october 11, 1926"
nm0058826,"november 27, 1922"
nm0680611,"july 6, 1923"
nm0456533,"september 18, 1927"
nm0659009,"december 10, 1909"
nm0027323,"august 8, 1926"
nm0173637,"december 28, 1910"
nm0341186,"june 25, 1929"
nm0769974,"july 6, 1922"
nm0571754,"december 20, 1924"
nm0795046,"may 12, 1914"
nm0001453,"january 22, 1932"
nm0914018,"august 29, 1914"
nm0697094,"september 14, 1938"
nm0020005,"june 22, 1923"
nm0545301,"april 22, 1920"
nm0643211,"march 23, 1902"
nm0492342,"september 7, 1937"
nm0022398,"january 5, 1928"
nm0026379,"august 29, 1922"
nm0920089,"march 23, 1926"
nm0587617,"may 15, 1914"
nm0000008,"april 3, 1924"
nm0432816,"july 28, 1923"
nm0426989,"april 30, 1929"
nm0920662,"march 20, 1930"
nm0426954,"february 7, 1908"
nm0390215,"september 1, 1930"
nm0625372,"may 6, 1911"
nm0124236,"may 19, 1904"
nm0301901,"november 1, 1921"
nm0002075,"september 28, 1916"
nm0289038,"may 19, 1939"
nm0656447,"december 13, 1907"
nm0934345,"april 20, 1899"
nm0218293,"may 14, 1903"
nm0233893,"june 19, 1924"
nm0499315,"february 7, 1904"
nm0152487,"april 21, 1926"
nm4726634,"march 7, 1995"
nm4977122,"december 8, 1998"
nm4726999,1978
nm0167737,"december 5, 1948"
nm0167818,"december 5, 1948"
nm0511094,"november 16, 1903"
nm0518673,"august 28, 1901"
nm0552416,"september 1, 1891"
nm0150718,"september 2, 1919"
nm0150706,"june 22, 1921"
nm0457025,"july 6, 1910"
nm0498007,"may 26, 1920"
nm0026399,"april 11, 1922"
nm0854528,"may 6, 1922"
nm0000027,"april 2, 1914"
nm0712738,"may 31, 1939"
nm0132224,"july 31, 1922"
nm0824389,"may 21, 1920"
nm0276155,"february 17, 1892"
nm0807761,"january 22, 1928"
nm0024628,"september 29, 1923"
nm0097848,"january 31, 1880"
nm0111721,"march 4, 1911"
nm0163919,"february 12, 1912"
nm1042249,"august 31, 1926"
nm0218907,"june 6, 1890"
nm0226996,"july 29, 1888"
nm0284289,"april 7, 1918"
nm0000188,"august 14, 1945"
nm0000349,"october 11, 1962"
nm0563039,"october 20, 1952"
nm0001406,"june 18, 1952"
nm0382676,"september 19, 1927"
nm0750658,"april 10, 1954"
nm0827663,"august 28, 1957"
nm0103038,"may 28, 1979"
nm0140393,"august 20, 1980"
nm0491590,"october 30, 1938"
nm0131974,"june 7, 1953"
nm0192963,"september 25, 1965"
nm0640486,"september 13, 1952"
nm0791325,"september 20, 1912"
nm0048433,"july 13, 1883"
nm0151429,"november 14, 1915"
nm0712672,"may 2, 1911"
nm0799527,"january 23, 1916"
nm2177557,"september 14, 1907"
nm0936727,"march 12, 1917"
nm0953989,"april 1, 1879"
nm0268191,"august 6, 1900"
nm0716100,"march 3, 1874"
nm0725125,"july 10, 1926"
nm0088942,"august 31, 1920"
nm0118783,"january 5, 1897"
nm0124680,"april 7, 1885"
nm0125350,"february 4, 1915"
nm0151236,"september 18, 1927"
nm0152361,"october 13, 1901"
nm0167830,"april 26, 1892"
nm0079328,"february 13, 1915"
nm0383481,"april 25, 1894"
nm0837925,"may 16, 1909"
nm0502844,"may 14, 1910"
nm0809393,"may 16, 1921"
nm0424987,"february 3, 1913"
nm0102025,"april 13, 1928"
nm0175619,"november 28, 1909"
nm0127693,"july 9, 1927"
nm0519584,"february 20, 1908"
nm0191025,"august 2, 1920"
nm0333815,"november 4, 1913"
nm0001128,"november 8, 1935"
nm0000268,"april 28, 1941"
nm0001588,"february 18, 1919"
nm0151405,"january 28, 1935"
nm0593083,"december 15, 1926"
nm0516804,"september 19, 1959"
nm0615540,"june 30, 1936"
nm0548579,"october 21, 1933"
nm0793715,"august 10, 1921"
nm0288311,"may 5, 1908"
nm0498967,"august 20, 1918"
nm0697657,"june 3, 1942"
nm0254199,"october 25, 1887"
nm0738139,"february 3, 1890"
nm0358002,"august 16, 1934"
nm0175912,"january 2, 1935"
nm0322681,"april 25, 1931"
nm0358017,"april 10, 1917"
nm0666292,"august 3, 1911"
nm0546073,"march 13, 1888"
nm0566063,"december 28, 1928"
nm0314947,"september 27, 1915"
nm0001616,"december 29, 1974"
nm0365445,"october 17, 1969"
nm0564277,"september 23, 1961"
nm0005246,"october 1, 1962"
nm1004112,"february 4, 1976"
nm0005264,"march 14, 1966"
nm0356021,"december 12, 1970"
nm0429171,"january 8, 1957"
nm0155913,"july 16, 1973"
nm0561345,1919
nm0001549,"december 11, 1931"
nm3012762,"january 25, 1934"
nm0152304,"october 29, 1928"
nm0182280,"october 19, 1916"
nm0207511,"october 7, 1878"
nm0435774,"june 6, 1895"
nm0504839,"april 30, 1919"
nm0305238,"november 1, 1904"
nm0609216,"february 28, 1915"
nm0153083,"november 2, 1912"
nm0234126,"march 21, 1921"
nm0396177,"july 9, 1921"
nm0045985,"november 24, 1932"
nm0540102,"march 8, 1915"
nm0528752,"july 17, 1927"
nm0891207,"january 29, 1927"
nm0814801,"january 24, 1913"
nm0678842,"february 9, 1913"
